"日期","最新","开盘","高","低","交易量","百分比变化"
"2015年4月7日","13,768.73","13,626.62","13,769.76","13,625.26","53.97K","2.03"
"2015年4月3日","13,494.64","13,336.87","13,502.47","13,296.94","44.02K","0.51"
"2015年4月2日","13,426.10","13,486.90","13,537.38","13,235.28","48.26K","0.23"
"2015年4月1日","13,394.73","13,187.42","13,454.81","13,142.40","45.58K","1.78"
"2015年3月31日","13,160.66","13,420.92","13,538.29","13,106.97","57.98K","-0.25"
"2015年3月30日","13,193.32","12,917.14","13,242.31","12,894.49","50.92K","2.48"
"2015年3月27日","12,874.42","12,779.33","12,930.24","12,717.43","34.08K","1.27"
"2015年3月26日","12,712.98","12,703.35","12,856.21","12,601.75","42.40K","-0.35"
"2015年3月25日","12,757.09","12,776.00","12,841.90","12,656.52","48.40K","-0.34"
"2015年3月24日","12,801.20","12,841.15","12,841.44","12,495.92","59.97K","0.16"
"2015年3月23日","12,780.32","12,644.19","12,813.83","12,644.19","48.19K","1.88"
"2015年3月20日","12,544.45","12,427.41","12,659.83","12,387.89","51.98K","0.93"
"2015年3月19日","12,429.11","12,549.55","12,552.71","12,337.67","53.78K","-0.54"
"2015年3月18日","12,496.24","12,206.72","12,505.34","12,190.25","62.69K","2.68"
"2015年3月17日","12,169.52","12,083.44","12,190.28","12,046.80","48.65K","1.26"
"2015年3月16日","12,017.77","11,791.42","12,021.82","11,748.08","32.74K","2.60"
"2015年3月13日","11,713.61","11,680.47","11,751.19","11,654.19","24.45K","0.67"
"2015年3月12日","11,635.59","11,593.69","11,645.56","11,516.25","27.32K","0.96"
"2015年3月11日","11,525.09","11,554.66","11,682.54","11,491.69","21.68K","-0.27"
"2015年3月10日","11,556.65","11,501.98","11,649.25","11,479.27","24.32K","0.20"
"2015年3月9日","11,533.23","11,280.02","11,547.83","11,169.05","25.22K","1.24"
"2015年3月6日","11,392.40","11,600.66","11,626.11","11,381.91","22.79K","-1.50"
"2015年3月5日","11,566.39","11,597.49","11,628.15","11,484.80","26.23K","-0.76"
"2015年3月4日","11,655.08","11,530.93","11,688.28","11,521.70","29.36K","1.12"
"2015年3月3日","11,526.22","11,800.99","11,800.99","11,515.55","32.02K","-3.01"
"2015年3月2日","11,884.02","11,869.96","11,955.82","11,781.61","34.16K","1.07"
"2015年2月27日","11,757.68","11,736.29","11,819.42","11,719.66","26.37K","0.06"
"2015年2月26日","11,750.78","11,526.51","11,752.01","11,470.43","23.96K","1.83"
"2015年2月25日","11,539.70","11,755.18","11,755.18","11,500.69","20.43K","-1.53"
"2015年2月17日","11,718.56","11,658.05","11,772.15","11,644.54","21.06K","1.06"
"2015年2月16日","11,595.25","11,474.88","11,606.01","11,437.74","26.14K","1.33"
"2015年2月13日","11,443.05","11,362.00","11,564.68","11,338.01","26.96K","1.24"
"2015年2月12日","11,302.73","11,268.59","11,348.32","11,185.00","27.42K","0.33"
"2015年2月11日","11,265.63","11,174.31","11,318.46","11,167.12","28.49K","1.16"
"2015年2月10日","11,136.62","10,887.68","11,136.62","10,875.28","20.47K","2.47"
"2015年2月9日","10,868.14","10,792.00","10,975.85","10,760.05","21.69K","0.71"
