"日期","最新","开盘","高","低","交易量","百分比变化"
"2005年1月7日","1,564.81","1,565.63","1,577.76","1,551.29","0","0.47"
"2005年1月6日","1,557.52","1,567.66","1,570.75","1,556.84","0","-0.40"
"2005年1月5日","1,563.76","1,568.68","1,580.88","1,562.64","0","-0.51"
"2005年1月4日","1,571.83","1,611.22","1,612.78","1,565.02","0","-1.98"
"2005年1月3日","1,603.51","1,628.75","1,635.45","1,598.79","0","-1.09"
"2004年12月31日","1,621.12","1,624.37","1,628.91","1,620.31","0","-0.16"
"2004年12月30日","1,623.76","1,626.21","1,628.74","1,621.58","0","-0.07"
"2004年12月29日","1,624.95","1,619.36","1,629.90","1,619.36","0","0.05"
"2004年12月28日","1,624.19","1,610.90","1,624.19","1,608.51","0","1.03"
"2004年12月27日","1,607.59","1,621.33","1,623.80","1,600.25","0","-0.38"
"2004年12月23日","1,613.77","1,608.87","1,619.18","1,608.64","0","0.01"
"2004年12月22日","1,613.57","1,605.72","1,619.56","1,602.99","0","0.27"
"2004年12月21日","1,609.26","1,598.60","1,611.34","1,594.89","0","1.09"
"2004年12月20日","1,591.97","1,603.84","1,613.78","1,587.21","0","-0.29"
"2004年12月17日","1,596.61","1,608.64","1,614.89","1,596.48","0","-0.68"
"2004年12月16日","1,607.62","1,621.43","1,625.83","1,601.62","0","-0.99"
"2004年12月15日","1,623.63","1,626.99","1,635.70","1,615.45","0","-0.24"
"2004年12月14日","1,627.46","1,618.20","1,632.17","1,618.20","0","0.39"
"2004年12月13日","1,621.16","1,617.53","1,621.37","1,608.40","0","1.00"
"2004年12月10日","1,605.16","1,601.46","1,611.23","1,600.72","0","-0.29"
"2004年12月9日","1,609.79","1,585.99","1,615.60","1,577.77","0","0.49"
"2004年12月8日","1,601.91","1,593.87","1,607.49","1,588.73","0","0.79"
"2004年12月7日","1,589.33","1,622.84","1,628.25","1,589.05","0","-1.87"
"2004年12月6日","1,619.59","1,612.33","1,625.61","1,605.71","0","0.32"
"2004年12月3日","1,614.40","1,621.10","1,631.90","1,612.72","0","0.08"
"2004年12月2日","1,613.15","1,602.11","1,623.60","1,599.63","0","0.37"
"2004年12月1日","1,607.15","1,578.25","1,607.16","1,578.25","0","2.27"
"2004年11月30日","1,571.50","1,579.51","1,583.15","1,571.11","0","-0.57"
"2004年11月29日","1,580.44","1,586.46","1,593.16","1,567.27","0","0.14"
"2004年11月26日","1,578.26","1,581.65","1,587.08","1,578.26","0","-0.27"
"2004年11月24日","1,582.55","1,572.67","1,583.07","1,570.87","0","1.28"
"2004年11月23日","1,562.60","1,566.71","1,573.52","1,552.85","0","-0.36"
"2004年11月22日","1,568.28","1,551.16","1,568.86","1,543.97","0","1.04"
"2004年11月19日","1,552.11","1,578.86","1,580.93","1,551.77","0","-1.82"
"2004年11月18日","1,580.81","1,568.02","1,581.79","1,563.79","0","0.62"
