"日期","最新","开盘","高","低","交易量","百分比变化"
"2003年3月24日","863.50","885.50","885.50","860.50","687.94K","-2.67"
"2003年3月21日","887.16","875.75","888.50","874.50","3.26K","1.30"
"2003年3月20日","875.75","873.25","880.00","858.25","24.98K","0.26"
"2003年3月19日","873.50","867.75","875.50","861.00","30.85K","0.72"
"2003年3月18日","867.25","862.50","873.75","857.25","43.35K","0.61"
"2003年3月17日","862.00","831.50","864.00","823.50","49.99K","3.33"
"2003年3月14日","834.25","833.00","843.50","828.00","59.77K","0.12"
"2003年3月13日","833.25","805.75","833.75","804.00","150.08K","3.41"
"2003年3月12日","805.75","800.50","806.00","788.50","870.06K","0.69"
"2003年3月11日","800.25","807.50","814.75","799.50","756.70K","-0.93"
"2003年3月10日","807.75","827.50","828.25","805.50","615.74K","-2.50"
"2003年3月7日","828.50","819.75","829.75","809.00","863.15K","0.82"
"2003年3月6日","821.75","829.50","830.50","819.00","740.70K","-0.93"
"2003年3月5日","829.50","822.25","830.00","818.25","718.14K","0.88"
"2003年3月4日","822.25","835.25","836.75","821.25","537.92K","-1.59"
"2003年3月3日","835.50","844.00","853.00","832.00","543.60K","-0.65"
"2003年2月28日","841.00","838.25","847.00","833.75","570.66K","0.33"
"2003年2月27日","838.25","827.50","842.75","825.25","727.68K","1.27"
"2003年2月26日","827.75","839.75","843.25","825.75","669.30K","-1.43"
"2003年2月25日","839.75","832.50","840.00","817.25","819.01K","0.87"
"2003年2月24日","832.50","847.50","850.50","831.00","543.07K","-1.74"
"2003年2月21日","847.25","838.75","852.25","829.75","678.20K","1.01"
"2003年2月20日","838.75","846.75","851.75","835.75","591.81K","-0.94"
"2003年2月19日","846.75","851.25","852.00","837.75","504.11K","-0.56"
"2003年2月18日","851.50","839.25","853.25","836.00","547.10K","1.73"
"2003年2月14日","837.00","819.75","837.25","813.75","728.30K","2.20"
"2003年2月13日","819.00","817.50","822.50","805.25","738.51K","0.28"
"2003年2月12日","816.75","829.75","831.50","816.25","621.03K","-1.57"
"2003年2月11日","829.75","836.50","842.75","823.50","662.31K","-0.75"
"2003年2月10日","836.00","831.50","836.75","822.25","651.78K","0.66"
"2003年2月7日","830.50","839.50","849.50","825.25","685.74K","-1.19"
"2003年2月6日","840.50","844.25","845.50","832.00","796.60K","-0.47"
"2003年2月5日","844.50","847.50","861.00","840.50","772.11K","-0.56"
"2003年2月4日","849.25","858.50","861.00","838.25","745.70K","-1.08"
"2003年2月3日","858.50","854.75","864.00","854.00","570.82K","0.44"
"2003年1月31日","854.75","840.50","857.75","836.50","803.36K","1.76"
"2003年1月30日","840.00","861.00","866.75","839.75","749.16K","-2.41"
"2003年1月29日","860.75","855.25","867.75","836.00","837.19K","0.73"
"2003年1月28日","854.50","848.25","860.00","845.00","744.87K","0.86"
"2003年1月27日","847.25","860.25","863.75","842.25","811.26K","-1.51"
"2003年1月24日","860.25","883.00","885.50","857.50","770.02K","-2.58"
"2003年1月23日","883.00","878.25","889.75","875.50","689.71K","0.63"
"2003年1月22日","877.50","888.50","891.75","876.00","638.61K","-1.24"
"2003年1月21日","888.50","903.25","907.25","886.00","548.96K","-1.61"
"2003年1月17日","903.00","917.00","923.50","897.75","487.77K","-1.47"
"2003年1月16日","916.50","919.75","925.75","910.75","629.94K","-0.49"
"2003年1月15日","921.00","927.25","932.75","915.50","593.76K","-0.89"
"2003年1月14日","929.25","926.25","931.50","920.50","529.89K","0.30"
"2003年1月13日","926.50","926.50","937.00","920.75","690.75K","0.00"
"2003年1月10日","926.50","925.75","933.00","915.00","693.02K","0.19"
"2003年1月9日","924.75","910.25","928.50","908.00","618.02K","1.62"
"2003年1月8日","910.00","923.75","923.75","907.25","642.34K","-1.49"
"2003年1月7日","923.75","926.00","930.50","918.75","670.73K","-0.30"
"2003年1月6日","926.50","911.00","931.50","903.75","541.64K","1.81"
"2003年1月3日","910.00","907.50","910.75","901.75","420.72K","0.28"
"2003年1月2日","907.50","883.00","909.75","882.50","469.31K","3.24"
"2002年12月31日","879.00","878.00","881.00","868.00","302.44K","0.17"
"2002年12月30日","877.50","872.25","881.50","869.00","327.93K","0.66"
"2002年12月27日","871.75","890.25","891.50","871.25","256.02K","-2.13"
"2002年12月26日","890.75","890.25","903.25","885.75","193.49K","-0.08"
"2002年12月24日","891.50","897.00","900.00","890.00","95.32K","-0.61"
"2002年12月23日","897.00","896.25","902.00","890.25","247.48K","0.66"
"2002年12月20日","891.11","884.50","895.25","884.50","3.11K","0.58"
"2002年12月19日","886.00","893.25","908.75","879.75","15.00K","-0.70"
"2002年12月18日","892.25","903.50","904.00","887.00","11.15K","-1.16"
"2002年12月17日","902.75","910.25","912.00","901.25","21.60K","-0.82"
"2002年12月16日","910.25","886.25","912.00","885.50","21.80K","2.56"
"2002年12月13日","887.50","901.75","903.25","887.00","37.49K","-1.61"
"2002年12月12日","902.00","902.25","908.75","896.25","72.87K","-0.03"
"2002年12月11日","902.25","902.25","910.25","895.50","523.29K","0.03"
"2002年12月10日","902.00","889.50","905.25","888.75","536.35K","1.41"
"2002年12月9日","889.50","913.75","917.75","889.00","568.75K","-2.65"
"2002年12月6日","913.75","909.75","916.00","891.75","726.07K","0.58"
"2002年12月5日","908.50","919.25","926.25","905.25","651.67K","-1.14"
"2002年12月4日","919.00","923.25","925.75","908.75","758.70K","-0.51"
"2002年12月3日","923.75","935.75","939.50","917.75","629.91K","-1.23"
"2002年12月2日","935.25","934.00","955.25","926.75","653.89K","-0.08"
"2002年11月29日","936.00","938.25","942.50","930.75","151.43K","-0.21"
"2002年11月27日","938.00","912.75","941.00","912.00","430.47K","2.91"
"2002年11月26日","911.50","930.00","932.50","910.75","523.42K","-1.96"
"2002年11月25日","929.75","929.00","937.25","922.50","505.24K","0.11"
"2002年11月22日","928.75","935.75","937.50","927.25","464.04K","-0.72"
"2002年11月21日","935.50","919.00","936.75","916.50","628.10K","1.82"
"2002年11月20日","918.75","898.25","919.25","893.25","620.62K","2.31"
"2002年11月19日","898.00","899.50","905.75","892.25","598.00K","-0.22"
"2002年11月18日","900.00","909.00","917.50","898.50","526.69K","-0.99"
"2002年11月15日","909.00","902.25","910.50","894.50","557.85K","0.72"
"2002年11月14日","902.50","886.00","905.75","881.25","631.81K","1.89"
"2002年11月13日","885.75","885.00","892.75","870.25","757.52K","0.11"
"2002年11月12日","884.75","877.75","894.50","875.75","602.74K","0.80"
"2002年11月11日","877.75","892.00","894.00","873.00","407.13K","-1.54"
"2002年11月8日","891.50","905.75","910.75","890.50","587.17K","-1.22"
"2002年11月7日","902.50","926.00","926.25","897.00","634.24K","-2.51"
"2002年11月6日","925.75","915.25","926.50","903.00","743.38K","1.29"
"2002年11月5日","914.00","906.50","915.75","903.75","517.61K","0.72"
"2002年11月4日","907.50","905.75","925.00","904.75","546.38K","1.00"
"2002年11月1日","898.50","882.00","904.00","875.00","617.61K","1.47"
"2002年10月31日","885.50","889.00","898.75","877.75","684.69K","-0.48"
"2002年10月30日","889.75","881.50","895.75","877.00","788.49K","0.94"
"2002年10月29日","881.50","891.75","893.25","866.00","742.83K","-1.15"
"2002年10月28日","891.75","900.25","909.25","885.00","614.25K","-0.78"
"2002年10月25日","898.75","879.00","900.00","875.25","628.87K","2.07"
"2002年10月24日","880.50","897.75","905.00","877.50","781.98K","-1.98"
"2002年10月23日","898.25","890.50","899.00","873.00","769.97K","0.76"
"2002年10月22日","891.50","897.25","897.25","881.50","608.45K","-0.81"
"2002年10月21日","898.75","882.00","901.75","872.50","646.05K","1.75"
"2002年10月18日","883.25","885.50","889.50","865.75","609.52K","0.48"
"2002年10月17日","879.00","865.50","888.75","863.50","621.77K","1.94"
"2002年10月16日","862.25","874.50","885.25","855.50","737.77K","-2.32"
"2002年10月15日","882.75","842.25","884.00","841.50","910.55K","4.90"
"2002年10月14日","841.50","836.75","845.00","827.50","497.29K","0.36"
"2002年10月11日","838.50","803.00","844.00","799.25","733.50K","4.49"
"2002年10月10日","802.50","778.50","807.25","767.25","878.75K","3.18"
"2002年10月9日","777.75","801.50","803.50","774.50","991.69K","-2.90"
"2002年10月8日","801.00","788.25","810.00","778.50","977.75K","1.59"
"2002年10月7日","788.50","804.75","808.75","782.00","752.01K","-2.14"
"2002年10月4日","805.75","819.75","830.25","792.25","850.51K","-1.80"
"2002年10月3日","820.50","829.00","840.50","816.25","795.71K","-1.20"
"2002年10月2日","830.50","853.75","854.75","823.00","804.72K","-2.75"
"2002年10月1日","854.00","816.50","854.50","810.25","746.90K","4.79"
"2002年9月30日","815.00","825.25","826.00","798.25","753.34K","-1.24"
"2002年9月27日","825.25","853.00","857.00","824.25","620.68K","-3.42"
"2002年9月26日","854.50","842.75","857.25","837.25","700.15K","1.58"
"2002年9月25日","841.25","821.75","845.00","810.25","715.42K","2.50"
"2002年9月24日","820.75","835.50","835.75","815.50","689.23K","-1.65"
"2002年9月23日","834.50","843.50","846.00","824.50","596.00K","-1.39"
"2002年9月20日","846.24","842.75","849.50","841.25","2.12K","0.53"
"2002年9月19日","841.75","863.25","863.50","841.50","16.87K","-2.55"
"2002年9月18日","863.75","870.00","879.00","856.75","17.74K","-1.00"
"2002年9月17日","872.50","893.50","915.75","871.75","30.59K","-2.30"
"2002年9月16日","893.00","891.25","894.00","879.00","14.08K","0.22"
"2002年9月13日","891.00","889.00","893.25","876.00","26.97K","0.20"
"2002年9月12日","889.25","906.25","908.75","884.25","72.34K","-1.85"
"2002年9月11日","906.00","911.00","927.50","905.50","427.01K","-0.55"
"2002年9月10日","911.00","900.25","912.25","898.50","510.95K","1.17"
"2002年9月9日","900.50","892.50","908.00","882.50","521.69K","0.67"
"2002年9月6日","894.50","884.50","900.00","881.50","479.20K","1.27"
