"日期","最新","开盘","高","低","交易量","百分比变化"
"2018年3月16日","2,756.25","2,759.00","2,766.25","2,750.25","0","0.17"
"2018年3月15日","2,751.50","2,750.75","2,763.50","2,741.00","358.57K","0.06"
"2018年3月14日","2,749.75","2,763.00","2,779.50","2,744.25","766.90K","-0.68"
"2018年3月13日","2,768.50","2,782.25","2,802.50","2,758.50","1.23M","-0.56"
"2018年3月12日","2,784.00","2,784.00","2,800.50","2,779.00","1.23M","-0.42"
"2018年3月11日","2,795.75","2,789.00","2,798.50","2,789.00","0","0.42"
"2018年3月9日","2,784.00","2,736.50","2,787.00","2,730.00","1.54M","1.63"
"2018年3月8日","2,739.25","2,722.50","2,740.50","2,720.00","1.50M","0.59"
"2018年3月7日","2,723.25","2,700.00","2,730.25","2,681.25","1.87M","-0.03"
"2018年3月6日","2,724.00","2,719.00","2,734.50","2,710.25","1.45M","0.20"
"2018年3月5日","2,718.50","2,683.25","2,727.75","2,663.75","1.78M","1.05"
"2018年3月2日","2,690.25","2,678.75","2,696.00","2,647.00","2.17M","0.45"
"2018年3月1日","2,678.25","2,718.25","2,731.00","2,658.50","2.82M","-1.34"
"2018年2月28日","2,714.50","2,746.50","2,762.00","2,712.00","1.88M","-1.20"
"2018年2月27日","2,747.50","2,783.50","2,789.75","2,742.00","1.72M","-1.33"
"2018年2月26日","2,784.50","2,751.50","2,786.00","2,742.50","1.26M","1.30"
"2018年2月23日","2,748.75","2,712.75","2,750.25","2,710.00","1.29M","1.37"
"2018年2月22日","2,711.50","2,698.50","2,731.00","2,682.00","1.62M","0.47"
"2018年2月21日","2,698.75","2,714.50","2,747.75","2,693.50","1.66M","-0.56"
"2018年2月20日","2,714.00","2,734.50","2,747.75","2,705.75","1.45M","-0.61"
"2018年2月19日","2,730.75","2,740.25","2,747.75","2,719.75","0","-0.35"
"2018年2月18日","2,740.25","2,736.25","2,741.00","2,734.50","0","0.19"
"2018年2月16日","2,735.00","2,734.00","2,754.75","2,722.25","1.74M","0.04"
"2018年2月15日","2,734.00","2,695.50","2,736.75","2,688.50","1.67M","1.37"
"2018年2月14日","2,697.00","2,662.50","2,701.75","2,627.00","2.09M","1.32"
"2018年2月13日","2,661.75","2,653.25","2,667.50","2,634.25","1.46M","0.24"
